"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,식료품 및 주류,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,생활가사용품,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,의류 및 잡화,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,가구 및 가전,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류,서적 문구류
"특성별(1)",특성별(2),상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,상품구매 유형,상품구매 유형,상품구매 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문점포 유형,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역,방문구매 지역
"특성별(1)",특성별(2),방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외,방문구매,통신구매,구매안함,대형할인마트,백화점,전문점,전통시장,동네슈퍼,편의점,기타,세종시 내,대전광역시,충남충북,서울경기,그 외
"교육정도별",중졸,92.9,0.5,6.6,27.7,0.2,0.0,12.7,36.8,21.8,0.7,96.8,1.4,0.9,0.8,0.2,65.6,6.1,28.3,46.2,1.0,6.3,10.3,32.2,4.0,0.0,93.6,4.7,0.6,1.1,0.0,54.8,18.8,26.4,32.9,14.1,28.4,22.4,0.3,0.0,1.8,62.0,21.0,10.9,6.0,0.0,21.0,3.6,75.5,56.6,0.8,40.7,1.9,0.0,0.0,0.0,67.8,20.3,11.1,0.8,0.0,30.5,12.7,56.9,36.8,3.6,53.1,0.0,3.5,1.4,1.6,83.7,12.4,1.4,2.4,0.0
"교육정도별",고졸,93.0,4.0,3.0,54.5,0.9,0.4,10.5,26.1,7.3,0.3,94.8,2.8,1.8,0.3,0.2,73.3,17.5,9.2,71.0,1.5,2.4,4.5,18.8,1.8,0.0,91.9,5.2,2.5,0.4,0.0,52.8,34.4,12.8,45.8,17.6,26.0,9.0,1.4,0.0,0.2,58.7,20.3,14.6,5.7,0.7,33.1,17.5,49.4,47.3,2.3,49.8,0.6,0.0,0.0,0.0,70.5,14.8,10.4,4.0,0.2,32.9,27.1,40.1,40.3,3.1,51.3,0.6,2.6,1.0,1.2,83.5,7.7,5.9,1.7,1.2
"교육정도별",대학이상,91.9,6.1,2.0,79.5,0.1,0.3,2.8,13.4,3.9,0.0,95.3,2.5,1.3,0.3,0.5,63.1,31.1,5.8,86.4,1.8,1.8,1.2,7.3,1.1,0.3,93.3,4.5,1.1,0.5,0.6,48.5,42.8,8.7,41.1,33.3,22.8,1.6,0.3,0.0,1.0,40.4,37.7,11.9,7.3,2.7,35.9,31.6,32.5,44.0,5.7,50.1,0.0,0.0,0.0,0.2,63.6,22.8,7.3,4.7,1.6,34.4,49.6,16.0,43.3,4.8,48.8,0.0,0.7,0.0,2.3,84.4,8.3,2.7,2.8,1.9
"직업별",전문관리,92.1,6.2,1.7,81.6,0.4,0.7,2.4,10.6,4.3,0.0,95.0,2.5,1.4,0.7,0.4,64.0,33.0,3.1,88.3,3.3,1.0,0.6,5.2,1.0,0.5,92.4,5.6,0.9,1.0,0.2,48.0,44.1,8.0,44.4,36.7,17.1,1.0,0.3,0.0,0.4,39.1,33.9,14.4,9.6,3.1,38.4,33.9,27.7,48.0,4.7,46.9,0.0,0.0,0.0,0.5,59.8,22.2,9.2,5.8,3.0,34.7,52.0,13.2,45.7,6.8,43.6,0.0,0.9,0.0,3.0,79.9,12.6,1.1,3.2,3.2
"직업별",사무,87.8,9.6,2.6,78.9,0.2,0.0,2.3,16.4,2.2,0.0,94.2,2.9,2.0,0.4,0.5,62.1,31.5,6.4,84.5,1.6,2.1,1.0,10.0,0.5,0.4,91.9,5.2,1.8,0.3,0.7,44.7,46.4,8.9,37.9,33.9,26.0,0.5,0.0,0.0,1.7,38.9,33.3,12.4,11.4,4.0,34.1,31.8,34.1,40.9,8.8,50.3,0.0,0.0,0.0,0.0,63.7,23.0,8.1,3.9,1.2,33.0,49.3,17.7,40.1,3.6,52.6,0.0,0.8,0.0,3.0,84.0,6.9,4.2,2.9,2.0
"직업별",서비스판매,93.7,3.5,2.8,61.1,0.0,0.5,12.4,19.0,7.0,0.0,95.1,1.5,2.3,1.1,0.0,67.0,24.9,8.2,71.3,0.4,2.3,10.4,14.5,1.1,0.0,95.1,1.8,2.4,0.7,0.0,57.2,36.2,6.5,42.4,21.2,25.1,10.6,0.7,0.0,0.0,55.9,26.4,12.9,4.3,0.5,35.0,21.5,43.5,57.3,0.9,41.3,0.4,0.0,0.0,0.0,72.7,17.4,8.5,0.0,1.4,30.1,30.4,39.5,56.7,1.6,41.7,0.0,0.0,0.0,0.0,87.1,8.5,3.4,0.0,0.9
"직업별",농어업,97.7,0.0,2.3,24.5,0.0,0.0,29.6,45.0,0.9,0.0,97.4,1.4,0.7,0.0,0.5,87.0,2.8,10.1,32.8,0.0,3.4,22.2,41.6,0.0,0.0,95.7,3.0,1.3,0.0,0.0,65.6,8.4,26.0,20.8,3.1,24.2,50.5,1.4,0.0,0.0,72.9,9.8,12.6,4.7,0.0,25.8,4.2,70.0,48.7,0.0,47.6,3.8,0.0,0.0,0.0,77.4,12.7,7.3,2.6,0.0,14.5,5.1,80.4,41.0,0.0,55.9,3.1,0.0,0.0,0.0,72.6,10.1,9.2,8.1,0.0
"직업별",기능노무,95.6,1.6,2.8,52.5,0.2,0.4,10.9,30.0,5.8,0.0,97.3,1.2,1.4,0.1,0.0,79.3,12.8,7.9,63.7,1.3,1.8,5.0,23.7,4.4,0.0,94.6,3.4,1.8,0.0,0.0,57.5,24.2,18.3,36.1,15.3,28.6,17.9,1.8,0.0,0.3,63.0,20.3,13.8,1.8,1.1,30.7,14.8,54.5,45.6,1.5,52.1,0.8,0.0,0.0,0.0,64.3,18.8,14.6,2.2,0.0,23.8,20.0,56.2,47.0,1.2,43.7,1.1,3.6,2.6,0.7,84.3,7.5,7.2,0.5,0.5
"직업별",군인/주부/학생/무직,92.2,2.9,4.9,51.6,0.4,0.3,9.0,24.4,13.9,0.4,96.0,2.5,0.8,0.2,0.5,62.0,17.7,20.3,68.8,1.0,3.4,6.9,18.6,1.3,0.0,93.4,4.7,1.2,0.4,0.3,47.6,31.0,21.4,40.1,22.4,22.8,12.1,1.3,0.0,1.2,54.3,29.8,9.8,5.3,0.7,25.3,16.8,57.9,44.3,3.9,50.5,0.8,0.4,0.0,0.0,68.6,18.8,7.3,5.2,0.0,34.2,32.6,33.2,36.4,3.9,55.6,0.1,2.2,0.3,1.6,87.7,6.1,3.0,2.2,0.9
"혼인상태별",미혼,86.1,6.3,7.6,43.0,0.9,0.4,2.6,22.3,30.5,0.2,95.6,2.5,1.6,0.2,0.1,46.5,22.3,31.2,70.5,1.4,6.7,2.0,13.1,6.2,0.0,94.0,4.4,1.3,0.3,0.0,33.9,48.2,17.9,32.9,29.6,29.9,4.3,0.8,0.0,2.5,45.2,34.0,11.6,7.2,2.0,12.5,23.2,64.3,49.1,0.0,49.5,1.5,0.0,0.0,0.0,80.5,7.9,5.1,4.1,2.5,31.8,41.6,26.6,31.2,2.9,60.6,0.2,2.4,0.5,2.1,88.9,4.7,2.6,1.7,2.1
